case,category,topology,order,mode,operation,iterations,seconds,ns_per_call,min_ns_per_call,max_ns_per_call,allocations_per_call,model_lower_bound_ns,measured_to_model_bound,modeled_flops_per_call,estimated_bytes_per_call
lagrange_pyramid_order2_strided_values,lagrange_pyramid_strided,pyramid,2,strided,values,4000,0.013225037,3306.25925,3190.26075,3487.26975,0.0,0,0,0,4144
lagrange_pyramid_order2_strided_hessians,lagrange_pyramid_strided,pyramid,2,strided,hessians,2000,0.018629203,9314.6015,9279.7015,9363.4575,0.0,0,0,0,37296
lagrange_pyramid_order5_strided_all,lagrange_pyramid_strided,pyramid,5,strided,all,500,1.440717056,2881434.112,2861911.266,2934502.318,0.0,0,0,0,766584
lagrange_line_order1_construction,lagrange_construction,line,1,construction,construction,20,6.281e-06,314.05,285.45,513.9,7.0,0,0,0,0
lagrange_line_order1_point_values,lagrange_scalar_point,line,1,point,values,5000,4.3916e-05,8.7832,8.777,8.7852,0.0,0,0,10,16
lagrange_line_order1_point_gradients,lagrange_scalar_point,line,1,point,gradients,5000,6.0982e-05,12.1964,12.1936,12.1964,0.0,0,0,18,48
lagrange_line_order1_point_hessians,lagrange_scalar_point,line,1,point,hessians,5000,7.4541e-05,14.9082,14.9042,14.91,0.0,0,0,26,144
lagrange_line_order1_point_all,lagrange_scalar_point,line,1,point,all,5000,0.000113821,22.7642,22.7598,23.6748,0.0,0,0,30,208
lagrange_line_order1_strided_values,lagrange_strided_batch,line,1,strided,values,1000,6.2637e-05,62.637,61.815,65.303,0.0,0,0,40,80
lagrange_line_order1_strided_gradients,lagrange_strided_batch,line,1,strided,gradients,1000,7.4572e-05,74.572,74.563,74.663,0.0,0,0,72,240
lagrange_line_order1_strided_hessians,lagrange_strided_batch,line,1,strided,hessians,1000,8.803e-05,88.03,88.003,90.559,0.0,0,0,104,720
lagrange_line_order1_strided_all,lagrange_strided_batch,line,1,strided,all,1000,9.9502e-05,99.502,99.466,99.6,0.0,0,0,120,1040
lagrange_line_order2_construction,lagrange_construction,line,2,construction,construction,20,7.448e-06,372.4,335.0,411.65,9.0,0,0,0,0
lagrange_line_order2_point_values,lagrange_scalar_point,line,2,point,values,5000,4.067e-05,8.134,8.132,8.1454,0.0,0,0,15,24
lagrange_line_order2_point_gradients,lagrange_scalar_point,line,2,point,gradients,5000,6.9207e-05,13.8414,13.8318,14.5226,0.0,0,0,27,72
lagrange_line_order2_point_hessians,lagrange_scalar_point,line,2,point,hessians,5000,8.6715e-05,17.343,17.3422,17.3518,0.0,0,0,39,216
lagrange_line_order2_point_all,lagrange_scalar_point,line,2,point,all,5000,0.000134123,26.8246,26.823,26.834,0.0,0,0,45,312
lagrange_line_order2_strided_values,lagrange_strided_batch,line,2,strided,values,1000,7.7264e-05,77.264,77.237,79.841,0.0,0,0,60,120
lagrange_line_order2_strided_gradients,lagrange_strided_batch,line,2,strided,gradients,1000,9.6622e-05,96.622,96.535,123.861,0.0,0,0,108,360
lagrange_line_order2_strided_hessians,lagrange_strided_batch,line,2,strided,hessians,1000,0.000118313,118.313,117.642,120.003,0.0,0,0,156,1080
lagrange_line_order2_strided_all,lagrange_strided_batch,line,2,strided,all,1000,0.000134435,134.435,134.417,134.517,0.0,0,0,180,1560
lagrange_line_order3_construction,lagrange_construction,line,3,construction,construction,20,8.174e-06,408.7,404.9,496.85,9.0,0,0,0,0
lagrange_line_order3_point_values,lagrange_scalar_point,line,3,point,values,5000,5.1511e-05,10.3022,10.2988,10.3046,0.0,0,0,20,32
lagrange_line_order3_point_gradients,lagrange_scalar_point,line,3,point,gradients,5000,7.8606e-05,15.7212,15.7196,16.2894,0.0,0,0,36,96
lagrange_line_order3_point_hessians,lagrange_scalar_point,line,3,point,hessians,5000,0.000150496,30.0992,30.088,30.1006,0.0,0,0,52,288
lagrange_line_order3_point_all,lagrange_scalar_point,line,3,point,all,5000,0.000229716,45.9432,42.9212,46.6184,0.0,0,0,60,416
lagrange_line_order3_strided_values,lagrange_strided_batch,line,3,strided,values,1000,9.2184e-05,92.184,92.085,92.323,0.0,0,0,80,160
lagrange_line_order3_strided_gradients,lagrange_strided_batch,line,3,strided,gradients,1000,0.000115471,115.471,114.524,121.604,0.0,0,0,144,480
lagrange_line_order3_strided_hessians,lagrange_strided_batch,line,3,strided,hessians,1000,0.00014843,148.43,145.56,148.776,0.0,0,0,208,1440
lagrange_line_order3_strided_all,lagrange_strided_batch,line,3,strided,all,1000,0.000172573,172.573,171.059,175.488,0.0,0,0,240,2080
lagrange_line_order4_construction,lagrange_construction,line,4,construction,construction,20,9.506e-06,475.3,473.45,729.6,10.0,0,0,0,0
lagrange_line_order4_point_values,lagrange_scalar_point,line,4,point,values,5000,0.000192137,38.4274,37.2944,41.4004,0.0,0,0,25,40
lagrange_line_order4_point_gradients,lagrange_scalar_point,line,4,point,gradients,5000,0.000254363,50.8726,50.8558,50.928,0.0,0,0,45,120
lagrange_line_order4_point_hessians,lagrange_scalar_point,line,4,point,hessians,5000,0.000453535,90.707,68.9456,108.5644,0.0,0,0,65,360
lagrange_line_order4_point_all,lagrange_scalar_point,line,4,point,all,5000,0.000388723,77.7446,76.3192,80.9824,0.0,0,0,75,520
lagrange_line_order4_strided_values,lagrange_strided_batch,line,4,strided,values,1000,0.00011602,116.02,114.595,120.922,0.0,0,0,100,200
lagrange_line_order4_strided_gradients,lagrange_strided_batch,line,4,strided,gradients,1000,0.000156875,156.875,156.808,156.939,0.0,0,0,180,600
lagrange_line_order4_strided_hessians,lagrange_strided_batch,line,4,strided,hessians,1000,0.000202365,202.365,202.016,207.307,0.0,0,0,260,1800
lagrange_line_order4_strided_all,lagrange_strided_batch,line,4,strided,all,1000,0.000235188,235.188,235.066,238.998,0.0,0,0,300,2600
lagrange_line_order5_construction,lagrange_construction,line,5,construction,construction,20,2.6464e-05,1323.2,1309.15,1653.05,41.0,0,0,0,0
lagrange_line_order5_point_values,lagrange_scalar_point,line,5,point,values,5000,0.000549842,109.9684,109.5312,113.6842,0.0,0,0,30,48
lagrange_line_order5_point_gradients,lagrange_scalar_point,line,5,point,gradients,5000,0.000807428,161.4856,157.7756,163.76,0.0,0,0,54,144
lagrange_line_order5_point_hessians,lagrange_scalar_point,line,5,point,hessians,5000,0.00104149,208.298,207.9958,212.5642,0.0,0,0,78,432
lagrange_line_order5_point_all,lagrange_scalar_point,line,5,point,all,5000,0.001116593,223.3186,217.6876,223.487,0.0,0,0,90,624
lagrange_line_order5_strided_values,lagrange_strided_batch,line,5,strided,values,1000,0.000444394,444.394,392.628,560.66,0.0,0,0,120,240
lagrange_line_order5_strided_gradients,lagrange_strided_batch,line,5,strided,gradients,1000,0.000613236,613.236,594.661,620.936,0.0,0,0,216,720
lagrange_line_order5_strided_hessians,lagrange_strided_batch,line,5,strided,hessians,1000,0.000833981,833.981,813.659,844.11,0.0,0,0,312,2160
lagrange_line_order5_strided_all,lagrange_strided_batch,line,5,strided,all,1000,0.000870693,870.693,846.87,878.682,0.0,0,0,360,3120
