node,x,y,z,lumped_control_volume,previous_indicator,low_order_indicator,raw_target_indicator,limited_indicator,physical_boundary_transfer,discrete_divergence_source,low_order_interior_transfer,raw_antidiffusive_transfer,limited_antidiffusive_transfer,limited_balance_residual,courant,component_id
0,0,0,0,3.8146972656249979e-06,8.5497691853640609e-36,8.5497691853640609e-36,8.5497691853640609e-36,8.5497691853640609e-36,-0,0,0,0,0,0,0,-1
1,0.03125,0,0,7.6293945312499966e-06,1.3235071942458612e-17,1.5375601258264178e-17,1.4287776681929785e-17,1.4287776681929785e-17,-0,1.8490048674818991e-27,1.6329093651119804e-23,-8.2994428736449638e-24,-8.2994428736449638e-24,-1.4693679385278594e-39,3.6622810521053624e-05,-1
2,0.0625,0,0,7.6293945312499966e-06,8.5773947028557288e-16,9.8701175131949561e-16,9.1824416331382061e-16,9.1824416331382061e-16,-0,2.3505585765570425e-25,9.8603417810476684e-22,-5.2465505985775049e-22,-5.2465505985775049e-22,9.4039548065783001e-37,0.00010846103749314554,-1
3,0.09375,0,0,7.6293945312499966e-06,1.5350200845066482e-14,1.7455649951066263e-14,1.6277794507016615e-14,1.6277794507016615e-14,-0,6.1070159365401942e-24,1.6057194879203378e-20,-8.986323883435425e-21,-8.986323883435425e-21,1.504632769052528e-35,0.00021275397814108014,-1
4,0.125,0,0,7.6293945312499966e-06,1.4267197742246127e-13,1.6154957445654593e-13,1.5070235930350033e-13,1.5070235930350033e-13,-0,7.224365421163457e-23,1.4395239192077508e-19,-8.2757683967938208e-20,-8.2757683967938208e-20,-7.2222372914521344e-35,0.00034549371324391217,-1
5,0.15625,0,0,7.6293945312499966e-06,9.8836853856684784e-13,1.1310368062256321e-12,1.0497648011893295e-12,1.0497648011893295e-12,-0,5.8849302094570643e-22,1.0878840080378936e-18,-6.2005619076768883e-19,-6.2005619076768883e-19,-9.6296497219361793e-35,0.00050157912922294077,-1
6,0.1875,0,0,7.6293945312499966e-06,5.174080528934365e-12,6.0123213510168889e-12,5.5321547723323271e-12,5.5321547723323271e-12,-0,3.42313913966e-21,6.3918468047272523e-18,-3.6633802695050166e-18,-3.6633802695050166e-18,-3.4666738998970245e-33,0.00067501195107580187,-1
7,0.21875,0,0,7.6293945312499966e-06,1.812475208729758e-11,2.0830543826125357e-11,1.9161179034369474e-11,1.9161179034369474e-11,-0,1.27298133766025e-20,2.0630822881537438e-17,-1.2736242612883617e-17,-1.2736242612883617e-17,1.8488927466117464e-32,0.00085912725272093674,-1
8,0.25,0,0,7.6293945312499966e-06,3.8007791908304908e-11,4.1076593426768915e-11,3.8435365192412458e-11,3.8435365192412458e-11,-0,2.7217526984571735e-20,2.3385879995476396e-17,-2.0150972246982231e-17,-2.0150972246982231e-17,1.0785207688568521e-32,0.001046849586369174,-1
9,0.28125,0,0,7.6293945312499966e-06,4.5501916407835461e-11,4.5743770097840319e-11,4.3450317220003616e-11,4.3450317220003616e-11,-0,3.1958004245225286e-20,1.8132392156404428e-18,-1.7497656843846916e-17,-1.7497656843846916e-17,3.6977854932234928e-32,0.001230964888014309,-1
10,0.3125,0,0,7.6293945312499966e-06,3.2608611692837147e-11,3.3282486936051825e-11,3.1101650480015007e-11,3.1101650480015007e-11,-0,2.1573652429935289e-20,5.1196864428968938e-18,-1.6638461731237937e-17,-1.6638461731237937e-17,1.0785207688568521e-32,0.0014043977098671698,-1
