step,time,previous_measure,low_order_measure,raw_target_measure,limited_measure,cumulative_boundary_transfer,cumulative_discrete_divergence_source,accounted_measure,raw_measure_error,accounted_balance_error,minimum_indicator,maximum_indicator,maximum_courant,maximum_local_balance_residual,maximum_component_balance_residual,components
1,0.0070422535211267607,0.014160156249999991,0.014160156249999991,0.014160156249999991,0.014160156249999991,1.3031234782207263e-19,-5.3911857586509625e-20,0.014160156249999991,0,0,-2.7755575615628914e-17,1.0000000000000002,0.49946728943152985,6.3205362114866132e-21,1.050589644844518e-17,1
2,0.014084507042253521,0.014160156249999991,0.014160156249999991,0.014160156249999991,0.014160156249999993,2.5281946463687216e-19,-7.7558263011203071e-20,0.014160156249999991,1.7347234759768071e-18,1.7347234759768071e-18,-5.5511151231257827e-17,1.0000000000000002,0.49944012593764187,5.3320986395654322e-21,2.713730436205198e-17,1
3,0.021126760563380281,0.014160156249999993,0.014160156249999991,0.014160156249999991,0.014160156249999993,3.6716906902772225e-19,-1.0676070594403463e-19,0.014160156249999991,1.7347234759768071e-18,1.7347234759768071e-18,-6.2450045135165055e-17,1.0000000000000002,0.49938580042715042,6.2197229451326495e-21,1.1855857935956599e-17,1
4,0.028169014084507043,0.014160156249999993,0.014160156249999991,0.014160156249999991,0.014160156249999991,4.729900582088313e-19,-1.5817794039475257e-19,0.014160156249999991,0,0,-6.9388939039072284e-17,1.0000000000000002,0.49930431585454466,6.3527471044072525e-21,2.4098290027214172e-17,1
5,0.035211267605633804,0.014160156249999991,0.014160156249999991,0.014160156249999991,0.014160156249999991,5.6987914856240802e-19,-2.3057998241439645e-19,0.014160156249999991,0,0,-7.0256300777060687e-17,1.0000000000000002,0.49919567665135767,6.0351097491868899e-21,4.5048734124629101e-17,1
6,0.042253521126760563,0.014160156249999991,0.014160156249999991,0.014160156249999991,0.014160156249999991,6.5731764974929557e-19,-2.9160081723326052e-19,0.014160156249999991,0,0,-8.3266726846886741e-17,1.0000000000000002,0.49905988872592461,5.5057141571529522e-21,6.4588442057465218e-17,1
7,0.049295774647887328,0.014160156249999991,0.014160156249999991,0.014160156249999991,0.014160156249999991,7.3486180728785781e-19,-3.6233944150579268e-19,0.014160156249999991,0,0,-9.0205620750793969e-17,1.0000000000000002,0.49889695946306267,6.1409888675936775e-21,3.8468025274867117e-17,1
8,0.056338028169014086,0.014160156249999991,0.014160156249999991,0.014160156249999991,0.014160156249999991,8.021305412104623e-19,-1.955736337758953e-19,0.014160156249999991,0,0,-9.1940344226770776e-17,1.0000000000000002,0.4987068977236685,5.7174723939665273e-21,3.7252889038649763e-17,1
9,0.063380281690140844,0.014160156249999991,0.014160156249999993,0.014160156249999993,0.014160156249999993,8.5871449341060552e-19,1.5097845894658721e-18,0.014160156249999993,1.7347234759768071e-18,0,-9.3675067702747583e-17,1.0000000000000002,0.49848971384423635,5.082197683525802e-21,2.9671122027205428e-17,1
10,0.070422535211267609,0.014160156249999993,0.01416015625,0.01416015625,0.01416015625,9.0426045255337662e-19,8.4481772857644884e-18,0.01416015625,8.6736173798840355e-18,0,-9.7144514654701197e-17,1.0000000000000002,0.49824541963629676,6.6703844596276152e-21,2.4310862494901629e-17,1
11,0.077464788732394374,0.01416015625,0.014160156250000021,0.014160156250000021,0.014160156250000021,9.3847959273365745e-19,2.8592334091330141e-17,0.014160156250000021,2.9490299091605721e-17,0,-9.8879238130678004e-17,1.0000000000000002,0.49797402838577309,5.6115932755597397e-21,2.1536968468513824e-17,1
12,0.084507042253521125,0.014160156250000021,0.014160156250000068,0.014160156250000068,0.014160156250000068,9.6110859164483514e-19,7.4768599470536366e-17,0.014160156250000068,7.6327832942979512e-17,0,-9.9096078565175105e-17,1.0000000000000002,0.49767555485225973,5.7174723939665273e-21,4.3006098220017995e-17,1
13,0.09154929577464789,0.014160156250000068,0.014160156250000161,0.014160156250000161,0.014160156250000161,9.7195213339301644e-19,1.6872011248764606e-16,0.014160156250000161,1.700029006457271e-16,0,-9.9312918999672206e-17,1.0000000000000002,0.49735001526821898,6.3527471044072525e-21,6.3394486438376248e-17,1
14,0.098591549295774655,0.014160156250000161,0.01416015625000035,0.01416015625000035,0.01416015625000035,9.7088133532963474e-19,3.5737941963669317e-16,0.01416015625000035,3.5908775952719907e-16,0,-1.0061396160665481e-16,1.0000000000000002,0.49699742733809865,5.9292306307801024e-21,2.3123057624442128e-17,1
15,0.10563380281690141,0.01416015625000035,0.014160156250000694,0.014160156250000694,0.014160156250000694,9.5778177767661293e-19,7.0087395876082126e-16,0.014160156250000694,7.0256300777060687e-16,0,-1.0072238182390336e-16,1.0000000000000002,0.49661781023736901,5.8233515123733148e-21,4.4804577992338171e-18,1
16,0.11267605633802817,0.014160156250000694,0.014160156250001261,0.014160156250001261,0.014160156250001261,9.3260652801835782e-19,1.2688329507198886e-15,0.014160156250001261,1.2698175844150228e-15,0,-1.0755285551056204e-16,1.0000000000000002,0.49621118461147956,6.3527471044072525e-21,2.7173335512613843e-17,1
17,0.11971830985915494,0.014160156250001261,0.014160156250002122,0.01416015625000212,0.014160156250002122,8.9539957307819679e-19,2.1279806849518004e-15,0.01416015625000212,2.1302404284995191e-15,1.7347234759768071e-18,-1.0755963177414007e-16,1.0000000000000002,0.49577757257473665,6.1939284267970712e-21,3.7546744738001725e-17,1
18,0.12676056338028169,0.014160156250002122,0.014160156250003313,0.014160156250003312,0.014160156250003313,8.4625484981722968e-19,3.3195433210494008e-15,0.014160156250003312,3.3219954564955856e-15,1.7347234759768071e-18,-1.1449174941446927e-16,1.0000000000000002,0.49531699770910115,6.1409888675936775e-21,9.7733089726899853e-17,1
19,0.13380281690140847,0.014160156250003313,0.014160156250004861,0.014160156250004861,0.014160156250004861,7.852967748749442e-19,4.8676680721243196e-15,0.014160156250004859,4.8693687970668975e-15,1.7347234759768071e-18,-1.2490009027033011e-16,1.0000000000000002,0.49482948506290469,6.7762635780344027e-21,1.4443832619164534e-16,1
20,0.14084507042253522,0.014160156250004861,0.014160156250006986,0.014160156250006986,0.014160156250006986,7.1270890380463809e-19,6.9923825518077163e-15,0.014160156250006984,6.9944050551384862e-15,1.7347234759768071e-18,-1.2663481374630692e-16,1.0000000000000002,0.49431506114948931,7.6232965252887031e-21,6.3018014227113872e-17,1
21,0.14788732394366197,0.014160156250006986,0.014160156250009806,0.014160156250009806,0.014160156250009806,6.2874404788665048e-19,9.8129507509927642e-15,0.014160156250009805,9.8150654270767745e-15,1.7347234759768071e-18,-1.2671612890924333e-16,1,0.49377375394576345,6.7762635780344027e-21,6.1862453432080708e-17,1
22,0.15492957746478875,0.014160156250009806,0.014160156250013373,0.014160156250013373,0.014160156250013373,5.3370361885500039e-19,1.3379493736334389e-14,0.014160156250013371,1.338165689368509e-14,1.7347234759768071e-18,-1.3183898417423734e-16,1,0.49320559289068189,5.5057141571529522e-21,1.1002019129668235e-16,1
23,0.1619718309859155,0.014160156250013373,0.014160156250017594,0.014160156250017594,0.014160156250017594,4.279204788706339e-19,1.7599606837251303e-14,0.014160156250017592,1.7602239110736662e-14,1.7347234759768071e-18,-1.3183898417423734e-16,1,0.49261060888364427,6.3527471044072525e-21,4.6290415992264088e-17,1
24,0.16901408450704225,0.014160156250017594,0.014160156250022633,0.014160156250022633,0.014160156250022633,3.1178784345272521e-19,2.2639163538280931e-14,0.014160156250022631,2.2641610808449286e-14,1.7347234759768071e-18,-1.3270634591222574e-16,1,0.49198883428281448,5.3998350387461647e-21,4.433333880668524e-17,1
25,0.17605633802816903,0.014160156250022633,0.014160156250028642,0.014160156250028642,0.014160156250028642,1.8573700775453353e-19,2.8648475850664421e-14,0.01416015625002864,2.8650692929232946e-14,1.7347234759768071e-18,-1.3273345096653788e-16,1,0.49134030290336123,5.7174723939665273e-21,3.3785827643271009e-17,1
26,0.18309859154929578,0.014160156250028642,0.014160156250035645,0.014160156250035643,0.014160156250035645,5.0235628236652462e-20,3.565072989467552e-14,0.014160156250035642,3.5653771601751316e-14,3.4694469519536142e-18,-1.3276055602085002e-16,1,0.49066505001561828,6.1409888675936775e-21,5.9333365911971628e-17,1
27,0.19014084507042253,0.014160156250035645,0.01416015625004346,0.01416015625004346,0.01416015625004346,-9.4206845840095337e-20,4.346674608064257e-14,0.014160156250043458,4.3468700861026832e-14,1.7347234759768071e-18,-1.3281476612947429e-16,1,0.48996311234316747,6.0351097491868899e-21,1.2797687091489083e-16,1
28,0.19718309859154931,0.01416015625004346,0.014160156250052187,0.014160156250052187,0.014160156250052187,-2.4704045734575105e-19,5.2194263423225276e-14,0.014160156250052186,5.2196094668666149e-14,1.7347234759768071e-18,-1.3292318634672284e-16,1,0.48923452806084006,7.411538288475128e-21,5.3676802109380436e-17,1
29,0.20422535211267606,0.014160156250052187,0.014160156250061753,0.014160156250061753,0.014160156250061753,-4.077069969503013e-19,6.1758403097455533e-14,0.014160156250061749,6.1761359915202263e-14,3.4694469519536142e-18,-1.3292318634672284e-16,1,0.48847933679264194,7.6232965252887031e-21,4.5732453330034719e-17,1
30,0.21126760563380281,0.014160156250061753,0.014160156250072185,0.014160156250072185,0.014160156250072185,-5.7560818735768061e-19,7.2191198169522137e-14,0.014160156250072182,7.2193986899726781e-14,3.4694469519536142e-18,-1.3295029140103498e-16,0.99999999999999933,0.48769757960959775,5.5057141571529522e-21,7.248067266634022e-17,1
31,0.21830985915492959,0.014160156250072185,0.014160156250083312,0.014160156250083312,0.014160156250083312,-7.5013343234184761e-19,8.3317831834067417e-14,0.014160156250083308,8.3320503274642022e-14,3.4694469519536142e-18,-1.3295029140103498e-16,0.99999999999999933,0.4868892990275176,5.9292306307801024e-21,5.0129826678700661e-17,1
