node,x,y,z,lumped_control_volume,previous_indicator,low_order_indicator,raw_target_indicator,limited_indicator,physical_boundary_transfer,discrete_divergence_source,low_order_interior_transfer,raw_antidiffusive_transfer,limited_antidiffusive_transfer,limited_balance_residual,courant,component_id
0,0,0,0,6.103515624999998e-05,0,0,0,0,0,0,0,0,0,0,0.16410256410256413,-1
1,0.015625,0,0,0.00012207031249999995,0,0,0,0,-0,0,0,0,0,0,0.24615384615384622,-1
2,0.03125,0,0,0.00012207031249999995,0,0,0,0,-0,0,0,0,0,0,0.24615384615384622,-1
3,0.046875,0,0,0.00012207031249999995,0,0,0,0,-0,0,0,0,0,0,0.24615384615384622,-1
4,0.0625,0,0,0.00012207031249999995,0,0,0,0,-0,0,0,0,0,0,0.24615384615384622,-1
5,0.078125,0,0,0.00012207031249999995,0,0,0,0,-0,0,0,0,0,0,0.24615384615384622,-1
6,0.09375,0,0,0.00012207031249999995,0,0,0,0,-0,0,0,0,0,0,0.24615384615384622,-1
7,0.109375,0,0,0.00012207031249999995,0,0,0,0,-0,0,0,0,0,0,0.24615384615384622,-1
8,0.125,0,0,0.00012207031249999995,0,0,0,0,-0,0,0,0,0,0,0.24615384615384622,-1
9,0.140625,0,0,0.00012207031249999995,0,0,0,0,-0,0,0,0,0,0,0.24615384615384622,-1
10,0.15625,0,0,0.00012207031249999995,0,0,0,0,-0,0,0,0,0,0,0.24615384615384622,-1
11,0.171875,0,0,0.00012207031249999995,0,0,0,0,-0,0,0,0,0,0,0.24615384615384622,-1
12,0.1875,0,0,0.00012207031249999995,0,0,0,0,-0,0,0,0,0,0,0.24615384615384622,-1
13,0.203125,0,0,0.00012207031249999995,0,0,0,0,-0,0,0,0,0,0,0.24615384615384622,-1
14,0.21875,0,0,0.00012207031249999995,0,0,0,0,-0,0,0,0,0,0,0.24615384615384622,-1
15,0.234375,0,0,0.00012207031249999995,0,0,0,0,-0,0,0,0,0,0,0.24615384615384622,-1
16,0.25,0,0,0.00012207031249999995,0,0,0,0,-0,0,0,0,0,0,0.24615384615384622,-1
17,0.265625,0,0,0.00012207031249999995,0,0,0,0,-0,0,0,0,0,0,0.24615384615384622,-1
18,0.28125,0,0,0.00012207031249999995,0,0,0,0,-0,0,0,0,0,0,0.24615384615384622,-1
19,0.296875,0,0,0.00012207031249999995,0,0,0,0,-0,0,0,0,0,0,0.24615384615384622,-1
20,0.3125,0,0,0.00012207031249999995,0,0,0,0,-0,0,0,0,0,0,0.24615384615384622,-1
21,0.328125,0,0,0.00012207031249999995,0,0,0,0,-0,0,0,0,0,0,0.24615384615384622,-1
22,0.34375,0,0,0.00012207031249999995,0,0,0,0,-0,0,0,0,0,0,0.24615384615384622,-1
23,0.359375,0,0,0.00012207031249999995,0,0,0,0,-0,0,0,0,0,0,0.24615384615384622,-1
24,0.375,0,0,0.00012207031249999995,0,0,0,0,-0,0,0,0,0,0,0.24615384615384622,-1
25,0.390625,0,0,0.00012207031249999995,0,0,0,0,-0,0,0,0,0,0,0.24615384615384622,-1
26,0.40625,0,0,0.00012207031249999995,0,0,0,0,-0,0,0,0,0,0,0.24615384615384622,-1
27,0.421875,0,0,0.00012207031249999995,0,0,0,0,-0,0,0,0,0,0,0.24615384615384622,-1
28,0.4375,0,0,0.00012207031249999995,0,0,0,0,-0,0,0,0,0,0,0.24615384615384622,-1
29,0.453125,0,0,0.00012207031249999995,0,0,0,0,-0,0,0,0,0,0,0.24615384615384622,-1
30,0.46875,0,0,0.00012207031249999995,0,0,0,0,-0,0,0,0,0,0,0.24615384615384622,-1
31,0.484375,0,0,0.00012207031249999995,0,0,0,0,-0,0,0,0,0,0,0.24615384615384622,-1
32,0.5,0,0,0.00012207031249999995,0,0,0,0,-0,0,0,0,0,0,0.24615384615384622,-1
33,0.515625,0,0,0.00012207031249999995,0,0,0,0,-0,0,0,0,0,0,0.24615384615384622,-1
34,0.53125,0,0,0.00012207031249999995,0,0,0,0,-0,0,0,0,0,0,0.24615384615384622,-1
35,0.546875,0,0,0.00012207031249999995,0,0,0,0,-0,0,0,0,0,0,0.24615384615384622,-1
36,0.5625,0,0,0.00012207031249999995,0,0,0,0,-0,0,0,0,0,0,0.24615384615384622,-1
